Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
939032,ICL FINCORP LIMITED,125ICLFL28,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077E1,Debentures and Bonds,,,,,
939038,ICL FINCORP LIMITED,125ICFL26,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077J0,Debentures and Bonds,,,,,
939042,ICL FINCORP LIMITED,1225ICLF26,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077C5,Debentures and Bonds,,,,,
939044,ICL FINCORP LIMITED,ICLFLZC29,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077K8,Debentures and Bonds,,,,,
939050,IIFL Samasta Finance Limited,957ISFL26,IIFL Samasta Finance Ltd,Active,F ,1000.00,INE413U07236,Debentures and Bonds,,,,,
939052,IIFL Samasta Finance Limited,10ISFL26,IIFL Samasta Finance Ltd,Active,F ,1000.00,INE413U07277,Debentures and Bonds,,,,,
939054,IIFL Samasta Finance Limited,1003ISFL28,IIFL Samasta Finance Ltd,Active,F ,1000.00,INE413U07269,Debentures and Bonds,,,,,
939056,IIFL Samasta Finance Limited,1050ISFL28,IIFL Samasta Finance Ltd,Active,F ,1000.00,INE413U07251,Debentures and Bonds,,,,,
939082,Muthoot Mercantile Limited,1025MML26,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BG5,Debentures and Bonds,,,,,
939084,Muthoot Mercantile Limited,1075MML26,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BM3,Debentures and Bonds,,,,,
939086,Muthoot Mercantile Limited,MML26,MMLTD-21-12-26-NCD,Active,F ,1000.00,INE05F407BH3,Debentures and Bonds,,,,,
939088,Muthoot Mercantile Limited,MML26A,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BO9,Debentures and Bonds,,,,,
939090,Muthoot Mercantile Limited,1050MML28,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BB6,Debentures and Bonds,,,,,
939092,Muthoot Mercantile Limited,11MML28,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BL5,Debentures and Bonds,,,,,
939094,Muthoot Mercantile Limited,MML28,MMLTD-21-12-28-NCD,Active,F ,1000.00,INE05F407BJ9,Debentures and Bonds,,,,,
939096,Muthoot Mercantile Limited,MML28A,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407BQ4,Debentures and Bonds,,,,,
939098,Muthoot Mercantile Limited,MML30,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407AZ7,Debentures and Bonds,,,,,
939112,Sammaan Capital Limited,940SCL26B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RG0,Debentures and Bonds,,,,,
939114,Sammaan Capital Limited,990SCL26B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RN6,Debentures and Bonds,,,,,
939116,Sammaan Capital Limited,948SCL26B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RJ4,Debentures and Bonds,,,,,
939118,Sammaan Capital Limited,SCLZC26F,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RY3,Debentures and Bonds,,,,,
939120,Sammaan Capital Limited,SCLZC26G,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RL0,Debentures and Bonds,,,,,
939122,Sammaan Capital Limited,965SCL28B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RM8,Debentures and Bonds,,,,,
939124,Sammaan Capital Limited,925SCL28B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RS5,Debentures and Bonds,,,,,
939126,Sammaan Capital Limited,971SCL28B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RO4,Debentures and Bonds,,,,,
939128,Sammaan Capital Limited,980SCL33D,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RP1,Debentures and Bonds,,,,,
939130,Sammaan Capital Limited,835SCL23A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RR7,Debentures and Bonds,,,,,
939132,Sammaan Capital Limited,875SCL23A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RU1,Debentures and Bonds,,,,,
939134,Sammaan Capital Limited,1025SCL33,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RV9,Debentures and Bonds,,,,,
939136,Sammaan Capital Limited,1075SCL33,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RW7,Debentures and Bonds,,,,,
939138,Sammaan Capital Limited,980SCL33B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RX5,Debentures and Bonds,,,,,
939140,Sammaan Capital Limited,835SCL23B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07RZ0,Debentures and Bonds,,,,,
939146,ARKA FINCAP LIMITED,93ARKA26,ARKA FINCAP Ltd,Active,F ,1000.00,INE03W107231,Debentures and Bonds,,,,,
939148,ARKA FINCAP LIMITED,965ARKA26,ARKA FINCAP Ltd,Active,F ,1000.00,INE03W107249,Debentures and Bonds,,,,,
939150,ARKA FINCAP LIMITED,965ARKA28,ARKA FINCAP Ltd,Active,F ,1000.00,INE03W107256,Debentures and Bonds,,,,,
939152,ARKA FINCAP LIMITED,10ARKA28,ARKA FINCAP Ltd,Active,F ,1000.00,INE03W107223,Debentures and Bonds,,,,,
939158,Kosamattam Finance Limited,KFLZC26E,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07DZ2,Debentures and Bonds,,,,,
939160,Kosamattam Finance Limited,925FL27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07DY5,Debentures and Bonds,,,,,
939162,Kosamattam Finance Limited,KFLZC27A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EB1,Debentures and Bonds,,,,,
939164,Kosamattam Finance Limited,10KFL28,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07ED7,Debentures and Bonds,,,,,
939166,Kosamattam Finance Limited,KFLZC28C,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EC9,Debentures and Bonds,,,,,
939168,Kosamattam Finance Limited,KFLZC31,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EA3,Debentures and Bonds,,,,,
939178,360 ONE Prime Limited,921ONE27,360 ONE Prime Ltd,Active,F ,1000.00,INE248U07ET4,Debentures and Bonds,,,,,
939180,360 ONE Prime Limited,961ONE27,360 ONE Prime Ltd,Active,F ,1000.00,INE248U07EW8,Debentures and Bonds,,,,,
939182,360 ONE Prime Limited,926ONE29,360 ONE Prime Ltd,Active,F ,1000.00,INE248U07ES6,Debentures and Bonds,,,,,
939184,360 ONE Prime Limited,966ONE29,360 ONE Prime Ltd,Active,F ,1000.00,INE248U07ER8,Debentures and Bonds,,,,,
939190,Edelweiss Financial Services Ltd.,920EFSL27,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07EU0,Debentures and Bonds,,,,,
939192,Edelweiss Financial Services Ltd.,960EFSL27,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07EW6,Debentures and Bonds,,,,,
939194,Edelweiss Financial Services Ltd.,EFSL27A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07EX4,Debentures and Bonds,,,,,
939196,Edelweiss Financial Services Ltd.,967EFSL29,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07EY2,Debentures and Bonds,,,,,
939198,Edelweiss Financial Services Ltd.,1010EFSL29,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07EZ9,Debentures and Bonds,,,,,
939200,Edelweiss Financial Services Ltd.,EFSL29,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FA9,Debentures and Bonds,,,,,
939202,Edelweiss Financial Services Ltd.,10EFSL34,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FB7,Debentures and Bonds,,,,,
939204,Edelweiss Financial Services Ltd.,1045EFSL34,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FC5,Debentures and Bonds,,,,,
939206,MUTHOOT FINANCE LIMITED,825MFL27,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IW6,Debentures and Bonds,,,,,
939208,MUTHOOT FINANCE LIMITED,825MFL29,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IT2,Debentures and Bonds,,,,,
939212,MUTHOOT FINANCE LIMITED,850MFL27A,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IV8,Debentures and Bonds,,,,,
939214,MUTHOOT FINANCE LIMITED,850MFL29,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IZ9,Debentures and Bonds,,,,,
939216,MUTHOOT FINANCE LIMITED,MFL27,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IY2,Debentures and Bonds,,,,,
939218,MUTHOOT FINANCE LIMITED,MFL29,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07IX4,Debentures and Bonds,,,,,
939224,Cholamandalam Investment and Finance Company Ltd,85CIFC27,Cholamandalam Investment and Finance Company Ltd,Active,F ,1000.00,INE121A07RT7,Debentures and Bonds,,,,,
939226,Cholamandalam Investment and Finance Company Ltd,CIF27,Cholamandalam Investment and Finance Company Ltd,Active,F ,1000.00,INE121A07RS9,Debentures and Bonds,,,,,
939228,Cholamandalam Investment and Finance Company Ltd,86CIFC29,Cholamandalam Investment and Finance Company Ltd,Active,F ,1000.00,INE121A07RV3,Debentures and Bonds,,,,,
939230,Cholamandalam Investment and Finance Company Ltd,CIF29,Cholamandalam Investment and Finance Company Ltd,Active,F ,1000.00,INE121A07RU5,Debentures and Bonds,,,,,
939234,MUTHOOT FINCORP LIMITED,915MFL27,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DH3,Debentures and Bonds,,,,,
939236,MUTHOOT FINCORP LIMITED,935MFL29,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DG5,Debentures and Bonds,,,,,
939240,MUTHOOT FINCORP LIMITED,950MFL27A,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DE0,Debentures and Bonds,,,,,
939242,MUTHOOT FINCORP LIMITED,975MFL29A,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DF7,Debentures and Bonds,,,,,
939246,MUTHOOT FINCORP LIMITED,MFLZC27F,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DJ9,Debentures and Bonds,,,,,
939248,MUTHOOT FINCORP LIMITED,MFLZC29A,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DK7,Debentures and Bonds,,,,,
939250,MUTHOOT FINCORP LIMITED,MFLZC32,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DC4,Debentures and Bonds,,,,,
939260,Indel Money Limited,1075IML27,Indel Money Ltd,Active,F ,1000.00,INE0BUS07AS7,Debentures and Bonds,,,,,
939262,Indel Money Limited,IML160224,Indel Money Ltd,Active,F ,1000.00,INE0BUS07AU3,Debentures and Bonds,,,,,
939264,Indel Money Limited,1150IML29,Indel Money Ltd,Active,F ,1000.00,INE0BUS07AT5,Debentures and Bonds,,,,,
939266,Indel Money Limited,IML1622024,Indel Money Ltd,Active,F ,1000.00,INE0BUS07AV1,Debentures and Bonds,,,,,
939272,Sakthi Finance Ltd.,925SFL27,Sakthi Finance Ltd,Active,F ,1000.00,INE302E07656,Debentures and Bonds,,,,,
939274,Sakthi Finance Ltd.,SFL27224,Sakthi Finance Ltd,Active,F ,1000.00,INE302E07599,Debentures and Bonds,,,,,
939276,Sakthi Finance Ltd.,1025SFL29,Sakthi Finance Ltd,Active,F ,1000.00,INE302E07649,Debentures and Bonds,,,,,
939278,Sakthi Finance Ltd.,SFL2722024,Sakthi Finance Ltd,Active,F ,1000.00,INE302E07631,Debentures and Bonds,,,,,
939280,Sakthi Finance Ltd.,SFL270224A,Sakthi Finance Ltd,Active,F ,1000.00,INE302E07623,Debentures and Bonds,,,,,
939288,UGRO CAPITAL LIMITED,105UCL2026,UGRO CAPITAL Ltd,Active,F ,1000.00,INE583D07463,Debentures and Bonds,,,,,
939290,UGRO CAPITAL LIMITED,11UCL26,UGRO CAPITAL Ltd,Active,F ,1000.00,INE583D07455,Debentures and Bonds,,,,,
939297,Nido Home Finance Limited,958NIDO27,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07731,Debentures and Bonds,,,,,
939299,Nido Home Finance Limited,10NIDO27,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07715,Debentures and Bonds,,,,,
939301,Nido Home Finance Limited,NIDO010327,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07699,Debentures and Bonds,,,,,
939303,Nido Home Finance Limited,1003NIDO29,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07665,Debentures and Bonds,,,,,
939305,Nido Home Finance Limited,1050NIDO29,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07640,Debentures and Bonds,,,,,
939307,Nido Home Finance Limited,NIDO010329,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07723,Debentures and Bonds,,,,,
939309,Nido Home Finance Limited,1026NIDO34,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07673,Debentures and Bonds,,,,,
939311,Nido Home Finance Limited,1075NIDO34,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07681,Debentures and Bonds,,,,,
939319,Chemmanur Credits and Investments Limited,11CCIL27,Chemmanur Credits and Investments Ltd,Active,F ,1000.00,INE051307AU8,Debentures and Bonds,,,,,
939321,Chemmanur Credits and Investments Limited,1150CCIL29,Chemmanur Credits and Investments Ltd,Active,F ,1000.00,INE051307AT0,Debentures and Bonds,,,,,
939327,Chemmanur Credits and Investments Limited,CCI110324A,Chemmanur Credits and Investments Ltd,Active,F ,1000.00,INE051307AQ6,Debentures and Bonds,,,,,
939331,Navi Finserv Limited,1040NFL26,Navi Finserv Ltd,Active,F ,1000.00,INE342T07437,Debentures and Bonds,,,,,
939333,Navi Finserv Limited,1090NFL26,Navi Finserv Ltd,Active,F ,1000.00,INE342T07452,Debentures and Bonds,,,,,
939335,Navi Finserv Limited,1065NFL27,Navi Finserv Ltd,Active,F ,1000.00,INE342T07460,Debentures and Bonds,,,,,
939337,Navi Finserv Limited,1119NFL27,Navi Finserv Ltd,Active,F ,1000.00,INE342T07445,Debentures and Bonds,,,,,
939349,Sammaan Capital Limited,940SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SH6,Debentures and Bonds,,,,,
939351,Sammaan Capital Limited,990SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SG8,Debentures and Bonds,,,,,
939353,Sammaan Capital Limited,902SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SJ2,Debentures and Bonds,,,,,
939355,Sammaan Capital Limited,948SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SI4,Debentures and Bonds,,,,,
939357,Sammaan Capital Limited,0SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SK0,Debentures and Bonds,,,,,
939359,Sammaan Capital Limited,965SCL29,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SP9,Debentures and Bonds,,,,,
939361,Sammaan Capital Limited,1015SCFL29,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SS3,Debentures and Bonds,,,,,
939363,Sammaan Capital Limited,925SCL29,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SO2,Debentures and Bonds,,,,,
939365,Sammaan Capital Limited,971SCL29,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SN4,Debentures and Bonds,,,,,
939367,Sammaan Capital Limited,10SCL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SU9,Debentures and Bonds,,,,,
939369,Sammaan Capital Limited,1050SCFL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SM6,Debentures and Bonds,,,,,
939371,Sammaan Capital Limited,957SCL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07ST1,Debentures and Bonds,,,,,
939373,Sammaan Capital Limited,1003SCFL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SX3,Debentures and Bonds,,,,,
939375,Sammaan Capital Limited,1025SCFL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SV7,Debentures and Bonds,,,,,
939377,Sammaan Capital Limited,1075SCFL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SR5,Debentures and Bonds,,,,,
939379,Sammaan Capital Limited,980SCL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SW5,Debentures and Bonds,,,,,
939381,Sammaan Capital Limited,1025SCL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SQ7,Debentures and Bonds,,,,,
939385,ICL FINCORP LIMITED,1150IFL26,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077T9,Debentures and Bonds,,,,,
939387,ICL FINCORP LIMITED,12IFL27,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077R3,Debentures and Bonds,,,,,
939389,ICL FINCORP LIMITED,1250IFL29,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077P7,Debentures and Bonds,,,,,
939393,ICL FINCORP LIMITED,IFL19424,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077O0,Debentures and Bonds,,,,,
939395,ICL FINCORP LIMITED,IFL1942024,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077N2,Debentures and Bonds,,,,,
939397,ICL FINCORP LIMITED,1175IFL26,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077S1,Debentures and Bonds,,,,,
939399,ICL FINCORP LIMITED,1225IFL27,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077M4,Debentures and Bonds,,,,,
939401,ICL FINCORP LIMITED,IFL19424A,ICL FINCORP Ltd,Active,F ,1000.00,INE01CY077Q5,Debentures and Bonds,,,,,
939403,Edelweiss Financial Services Ltd.,9EFSL26,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FF8,Debentures and Bonds,,,,,
939405,Edelweiss Financial Services Ltd.,EFSL290424,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FE1,Debentures and Bonds,,,,,
939407,Edelweiss Financial Services Ltd.,920EFSL27A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FK8,Debentures and Bonds,,,,,
939409,Edelweiss Financial Services Ltd.,96EFSL27,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FL6,Debentures and Bonds,,,,,
939411,Edelweiss Financial Services Ltd.,EFS290424,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FM4,Debentures and Bonds,,,,,
939415,Kosamattam Finance Limited,875KFL26A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EF2,Debentures and Bonds,,,,,
939417,Kosamattam Finance Limited,0KFL26,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EJ4,Debentures and Bonds,,,,,
939419,Kosamattam Finance Limited,950KFL27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EL0,Debentures and Bonds,,,,,
939421,Kosamattam Finance Limited,0KFL27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EI6,Debentures and Bonds,,,,,
939423,Edelweiss Financial Services Ltd.,967EFSL29A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FN2,Debentures and Bonds,,,,,
939425,Edelweiss Financial Services Ltd.,1010EFS29,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FO0,Debentures and Bonds,,,,,
939427,Kosamattam Finance Limited,10KFL28A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EM8,Debentures and Bonds,,,,,
939429,Edelweiss Financial Services Ltd.,EFS290424A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FH4,Debentures and Bonds,,,,,
939431,Kosamattam Finance Limited,0KFL28,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EG0,Debentures and Bonds,,,,,
939433,Kosamattam Finance Limited,0KFL31,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07EH8,Debentures and Bonds,,,,,
939435,Edelweiss Financial Services Ltd.,1010EFS29A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FI2,Debentures and Bonds,,,,,
939437,Edelweiss Financial Services Ltd.,10EFSL34A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FD3,Debentures and Bonds,,,,,
939439,Edelweiss Financial Services Ltd.,1045EFS34,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FJ0,Debentures and Bonds,,,,,
939441,Edelweiss Financial Services Ltd.,1045EFS34A,Edelweiss Financial Services Ltd,Active,F ,1000.00,INE532F07FG6,Debentures and Bonds,,,,,
939443,MUTHOOT FINCORP LIMITED,890MFCL26,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DW2,Debentures and Bonds,,,,,
939445,MUTHOOT FINCORP LIMITED,915MFCL27,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DY8,Debentures and Bonds,,,,,
939447,MUTHOOT FINCORP LIMITED,935MFCL29,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DV4,Debentures and Bonds,,,,,
939449,MUTHOOT FINCORP LIMITED,955MFCL30,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DU6,Debentures and Bonds,,,,,
939451,MUTHOOT FINCORP LIMITED,925MFCL26,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DO9,Debentures and Bonds,,,,,
939453,MUTHOOT FINCORP LIMITED,950MFCL27,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DN1,Debentures and Bonds,,,,,
939455,MUTHOOT FINCORP LIMITED,975MFCL29,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DP6,Debentures and Bonds,,,,,
939457,MUTHOOT FINCORP LIMITED,10MFCL30,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DQ4,Debentures and Bonds,,,,,
939459,MUTHOOT FINCORP LIMITED,MFCL30424,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DR2,Debentures and Bonds,,,,,
939461,MUTHOOT FINCORP LIMITED,MFCL30424A,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DS0,Debentures and Bonds,,,,,
939463,MUTHOOT FINCORP LIMITED,MFCL30424B,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DT8,Debentures and Bonds,,,,,
939465,MUTHOOT FINCORP LIMITED,MFCL30424C,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DM3,Debentures and Bonds,,,,,
939467,MUTHOOT FINCORP LIMITED,MFCL30424D,MUTHOOT FINCORP Ltd,Active,F ,1000.00,INE549K07DX0,Debentures and Bonds,,,,,
939469,Motilal Oswal Financial Services Limited,885MOFSL26,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07131,Debentures and Bonds,,,,,
939471,Motilal Oswal Financial Services Limited,0MOFSL26,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07156,Debentures and Bonds,,,,,
939473,Motilal Oswal Financial Services Limited,91MOFSL27,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07149,Debentures and Bonds,,,,,
939475,Motilal Oswal Financial Services Limited,0MOFSL27,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07099,Debentures and Bonds,,,,,
939477,Motilal Oswal Financial Services Limited,897MOFSL29,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07164,Debentures and Bonds,,,,,
939479,Motilal Oswal Financial Services Limited,935MOFSL29,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07107,Debentures and Bonds,,,,,
939481,Motilal Oswal Financial Services Limited,93MOFSL34,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07115,Debentures and Bonds,,,,,
939483,Motilal Oswal Financial Services Limited,97MOFSL34,Motilal Oswal Financial Services Ltd,Active,F ,1000.00,INE338I07123,Debentures and Bonds,,,,,
939493,Muthoot Mercantile Limited,1060MML26,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CI9,Debentures and Bonds,,,,,
939495,Muthoot Mercantile Limited,0MML27524,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CG3,Debentures and Bonds,,,,,
939497,Muthoot Mercantile Limited,1075MML27,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CB4,Debentures and Bonds,,,,,
939499,Muthoot Mercantile Limited,0MML27,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CD0,Debentures and Bonds,,,,,
939501,Muthoot Mercantile Limited,1080MML29,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CH1,Debentures and Bonds,,,,,
939503,Muthoot Mercantile Limited,0MML29,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CC2,Debentures and Bonds,,,,,
939505,Muthoot Mercantile Limited,0MML29A,Muthoot Mercantile Ltd,Active,F ,1000.00,INE05F407CE8,Debentures and Bonds,,,,,
939507,Sammaan Capital Limited,925SCL26C,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07SZ8,Debentures and Bonds,,,,,
939509,Sammaan Capital Limited,965SCL26A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TE1,Debentures and Bonds,,,,,
939511,Sammaan Capital Limited,888SCL26A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TD3,Debentures and Bonds,,,,,
939513,Sammaan Capital Limited,925SCL26D,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TC5,Debentures and Bonds,,,,,
939515,Sammaan Capital Limited,SCFL310524,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TB7,Debentures and Bonds,,,,,
939517,Sammaan Capital Limited,SCL310524,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TA9,Debentures and Bonds,,,,,
939519,Sammaan Capital Limited,94SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TI2,Debentures and Bonds,,,,,
939521,Sammaan Capital Limited,99SCL27,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TF8,Debentures and Bonds,,,,,
939523,Sammaan Capital Limited,902SCL27A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TH4,Debentures and Bonds,,,,,
939525,Sammaan Capital Limited,948SCL27A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TL6,Debentures and Bonds,,,,,
939527,Sammaan Capital Limited,SCL310524A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TM4,Debentures and Bonds,,,,,
939529,Sammaan Capital Limited,1015SCL29,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TR3,Debentures and Bonds,,,,,
939531,Sammaan Capital Limited,925SCL29A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TQ5,Debentures and Bonds,,,,,
939533,Sammaan Capital Limited,971SCL29A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TG6,Debentures and Bonds,,,,,
939535,Sammaan Capital Limited,10SCL31A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TO0,Debentures and Bonds,,,,,
939537,Sammaan Capital Limited,1050SCL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TK8,Debentures and Bonds,,,,,
939539,Sammaan Capital Limited,1003SCL31,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TW3,Debentures and Bonds,,,,,
939541,Sammaan Capital Limited,1075SCL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TP7,Debentures and Bonds,,,,,
939543,Sammaan Capital Limited,98SCL34,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TU7,Debentures and Bonds,,,,,
939545,Sammaan Capital Limited,1025SCL34A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07TN2,Debentures and Bonds,,,,,
